from,to,text,time_start,time_end,comment
F1-1,GAA458,bizex four fifty eight descend and maintain three thousand,765.13,767.54,
GAA458,F1-1,down to three thousand bizex four fifty eight who we looking for,767.62,770.11,
F1-1,GAA458,ah a heavy jet on a half a mile final as a matter of fact just advise the runway in sight,770.25,774.72,
GAA458,F1-1,got it all and the heavy in sight,774.94,776.38,
F1-1,GAA458,thanks bizex four five eight after landing runway two two left hold short of runway two seven caution turbulence from the heavy jet ah descent you discretion,776.48,782.54,
USA884,F1-1,cleared for the i l s d m e to ah two seven ah loner three thousand or above u s air eight eighty four,802.08,806.5,
F1-1,PAA536,clipper five thirty six turn left heading two niner zero and intercept the localizer,806.53,809.68,
PAA536,F1-1,two niner zero for the localizer clipper five thirty six,809.84,812.11,
F1-1,DAL258,delta two fifty eight descend and maintain three thousand,820.51,822.81,
DAL258,F1-1,continue down to three thousand for delta two fifty eight,823.61,825.94,
F1-1,DAL258,delta two fifty eight turn left heading three three zero,869.37,871.7,
DAL258,F1-1,left three three oh for delta two fifty eight,872.32,874.67,
F1-1,GAA458,bizex four five eight contact the tower one one niner point one,874.64,877.71,
PAA536,F1-1,o k cleared approach ah three thousand to loner and ah one seventy to ripit clipper ah five thirty six,891.37,897.57,
USA884,F1-1,see you now you all take care,912.39,913.6,
PAA536,F1-1,clipper five thirty six,919.07,920.05,
DAL258,F1-1,left three three hundred and intercept the localizer and cleared for the i l s two seven for delta two fifty eight,927.7,932.32,
PCN3566,F1-1,precision thirty five sixty six five point five,933.36,935.91,
F1-1,PCN3566,precision thirty five sixty six boston approach roger,935.87,937.9,
F1-1,PCN3521,precision thirty five twenty one boston approach roger,944.23,946.12,
BTA3844,F1-1,jet link thirty eight forty four is on board going to four thousand with ah zero one zero assigned,950.38,954.66,
F1-1,BTA3844,jet link thirty eight forty four good afternoon thanks,954.68,956.49,
BTA3844,F1-1,k,956.54,957.02,
F1-1,BTA3844,jet link thirty eight forty four turn left heading three six zero,1031.48,1033.99,
BTA3844,F1-1,left three six zero jet link thirty eight forty four,1034.12,1036.18,
F1-1,PCN3566,precision thirty five sixty six turn left heading zero niner zero vectors for your sequence,1036.2,1039.91,
F1-1,PCN3521,precision thirty five twenty one proceed direct boston descend and maintain three thousand advise runway two two left in sight,1042.08,1046.59,
PCN3521,F1-1,direct boston down to three thousand and we have two two left in sight for precision thirty five twenty one,1046.83,1051.63,
F1-1,PCN3521,precision thirty five twenty one your runway is two two left after landing hold short of runway two seven cleared for the visual approach cross ten d m e at three thousand feet or above,1051.69,1058.71,
PCN3521,F1-1,cleared for the visual two two left to hold short of two seven precision thirty five twenty one,1058.85,1062.54,
F1-1,DAL258,delta two fifty eight reduce and maintain speed one seven zero til ripit traffic landing runway two two left will hold short of your runway,1062.64,1068.65,
DAL258,F1-1,will comply with all that delta two fifty eight,1069.12,1071.43,
PCN3566,F1-1,we have him in sight thirty five sixty six,1124.79,1126.46,
BTA3844,F1-1,left three thirty jet link thirty eight forty four,1138.66,1140.54,
F1-1,DAL258,delta two fifty eight contact the tower one one niner point one,1140.55,1143.16,
DAL258,F1-1,one nineteen one good day,1143.12,1144.62,
PCN3521,F1-1,nineteen one good day sir,1147.82,1148.92,different pilot
PCN3566,F1-1,nineteen one so long,1151.64,1152.66,
USA1524,F1-1,ah boston approach u s air fifteen twenty four seven and a half for six thousand,1162.63,1166.27,
F1-1,USA1524,u s air fifteen twenty four boston good afternoon descend and maintain four thousand,1166.19,1169.31,
USA1524,F1-1,o k good afternoon cleared down to four thousand u s air fifteen twenty four,1169.71,1172.89,
F1-1,USA182,u s air one eighty two boston approach fly heading zero two zero,1214.99,1217.78,
F1-1,USA1524,u s air fifteen twenty four descend and maintain three thousand,1222.42,1225.21,
USA1524,F1-1,descend to three u s air fifteen twenty four,1226.53,1228.49,
F1-1,BTA3844,jet link thirty eight forty four descend and maintain three thousand,1228.51,1231.16,
BTA3844,F1-1,out of four for three now thirty eight forty four,1231.19,1233.49,different pilot
F1-1,USA1524,u s air fifteen twenty four you can accept a base leg now,1235.34,1238.0,
USA1524,F1-1,affirmative u s air fifteen twenty four,1239.66,1241.44,
F1-1,USA1524,u s air fifteen twenty four turn right heading two zero zero descend and maintain two thousand advise runway two seven in sight,1241.36,1246.66,
USA1524,F1-1,o k ah we got ah two seven in sight u s air fifteen twenty four,1247.83,1251.38,
USA1524,F1-1,fifteen twenty four o k cleared visual two seven,1257.08,1259.61,
F1-1,BTA3844,jet link thirty eight forty four traffic twelve thirty three miles south bound altitude indicates one thousand six hundred,1259.95,1264.92,
F1-1,USA182,u s air one eighty two descend and maintain three thousand,1298.66,1301.26,
GAA418,F1-1,and boston bizex four eighteen is ah five thousand,1319.85,1322.49,
F1-1,GAA418,bizex four eighteen boston approach roger,1322.64,1324.61,
BTA3844,F1-1,o k three zero zero and intercept jet link thirty eight forty four,1330.77,1333.15,original pilot
F1-1,USA1524,u s air fifteen twenty four traffic landing runway two two left will hold short of your runway if needed contact the tower one one niner point one good day,1333.13,1339.15,
USA1524,F1-1,nineteen one u s air fifteen twenty four,1339.71,1341.5,
F1-1,USA182,u s air one eighty two turn left heading of three three zero,1341.88,1344.85,
BTA3844,F1-1,two til established cleared for the approach jet link thirty eight forty four,1352.95,1355.55,
GAA418,F1-1,and boston bizex four eighteen has got the airport in sight,1372.54,1374.91,
F1-1,GAA418,bizex four eighteen roger lower altitude in two miles,1374.93,1377.21,
GAA418,F1-1,o k,1377.61,1378.31,
F1-1,GAA418,bizex four eighteen is cleared visual approach runway two two left after landing hold short of runway two seven,1411.66,1415.69,
TAP322,F1-1,boston ah good afternoon air portugal ah three two two heavy on a heading two four zero,1541.89,1547.1,
F1-1,TAP322,trans portugal three two two heavy intercept the localizer,1547.27,1550.25,either prefix is appropriate id for this airline
TAP322,F1-1,will do,1550.64,1551.36,
F1-1,GAA418,bizex four eighteen contact the tower one one niner point one,1551.8,1554.2,
GAA418,F1-1,nineteen one bizex four eighteen,1554.58,1556.23,
F1-1,BTA3806,jet link thirty eight ah zero six boston fly heading of three four zero,1558.27,1561.34,
GAA500,F1-1,bo- yeah boston bizex five hundred four thousand five hundred v f r,1566.97,1571.44,
F1-1,GAA500,bizex five hundred boston approach roger expect lower altitude in seven miles,1572.16,1575.48,
GAA500,F1-1,thank you sir,1575.63,1576.48,
AAL736,F1-1,boston approach american seven thirty six with you descending to five zero three zero on the heading,1580.42,1584.59,
F1-1,AAL736,american seven thirty six boston approach roger fly heading three six zero and descend and maintain three thousand,1585.48,1589.69,
AAL736,F1-1,down to three three six zero on the heading american seven thirty six,1589.67,1592.39,
BTA3806,F1-1,boston jet link thirty eight zero six with you with the ah m d eighty in sight,1623.35,1626.55,
F1-1,BTA3806,jet link thirty eight oh six boston approach roger turn left heading three three zero,1626.77,1629.92,
BTA3806,F1-1,left three three zero jet link thirty eight zero six,1630.19,1632.34,
F1-1,TAP322,trans portugal three twenty two heavy reduce speed to one seven zero,1632.36,1635.02,
TAP322,F1-1,reducing one seven zero portugal three twenty two,1635.19,1637.9,
F1-1,AAL736,american seven thirty six turn left heading three three zero,1654.45,1656.74,
AAL736,F1-1,three three zero american seven thirty six,1656.7,1658.81,
F1-1,BTA3806,jet link thirty eight oh six descend and maintain three thousand,1662.67,1665.01,
BTA3806,F1-1,out of four for three thousand jet link thirty eight zero six,1665.3,1667.42,
F1-1,TAP322,trans portugal three twenty two heavy descend and maintain four thou when your speed is at one seventy descend and maintain four thousand,1667.54,1672.58,
TAP322,F1-1,at speed ah one seventy clear four thousand three twenty two heavy,1673.4,1677.15,
F1-1,GAA500,bizex five hundred descent your discretion after landing two two left hold short of runway two seven,1686.48,1690.39,
GAA500,F1-1,our discretion hold short of two seven bizex ah five hundred,1690.64,1694.16,
F1-1,GAA500,k,1697.99,1698.38,
F1-1,AAL736,american seven thirty six descend and maintain two thousand,1713.66,1715.99,
AAL736,F1-1,down to two american seven thirty six,1716.15,1718.0,
F1-1,ATL405,air atlantic four oh five boston,1718.11,1719.54,
ATL405,F1-1,air atlantic four zero five is checking in out of five for four thousand,1720.26,1723.07,
F1-1,ATL405,atlantic four oh five roger fly heading two six zero and descend and maintain three thousand,1723.02,1726.25,
ATL405,F1-1,two six zero three thousand air atlantic four oh five,1727.11,1729.64,
BTA3806,F1-1,three hundred on the heading jet link thirty eight zero six,1732.24,1734.53,
F1-1,AAL736,american seven thirty six ah maintain a hundred and ninety knots or greater advise runway two seven in sight,1736.83,1740.95,
AAL736,F1-1,we got the field one ninety or better american seven thirty six,1741.92,1744.78,
AAL736,F1-1,hundred and ninety to five we number one,1749.51,1751.13,
F1-1,AAL736,yes sir,1751.23,1751.73,
COM915,F1-1,boston approach commuter nine fifteen at four thousand,1755.74,1758.31,
F1-1,COM915,commuter nine fifteen boston roger,1758.3,1759.84,
BTA3896,F1-1,o k follow american maintain speed jet link thirty eight zero six,1777.86,1780.22,
F1-1,GAA500,bizex five hundred you turning in now,1781.07,1782.61,
F1-1,GAA500,five hundred contact the tower one one niner point one,1785.75,1787.64,
GAA500,F1-1,thanks,1787.81,1788.48,
F1-1,ATL405,air atlantic four zero five reduce speed to one seven zero and fly heading two five zero and intercept the localizer,1788.98,1793.56,
ATL405,F1-1,two five zero for the intercept and ah say again the speed two ah two hundred,1794.51,1798.45,
F1-1,ATL405,one seventy,1798.42,1799.37,
ATL405,F1-1,one seventy atlantic four oh five,1799.61,1801.13,
TAP322,F1-1,o k confirm it the i l s,1809.37,1811.09,
TAP322,F1-1,o k thank you clear i l s two seven portugal three two two heavy,1816.59,1819.79,
F1-1,AAL736,american seven thirty six traffic landing two two left will short of your runway contact the tower one one niner point one good day,1829.19,1834.03,
AAL736,F1-1,nineteen one good day,1834.02,1835.24,
COA1072,F1-1,continental ten seventy two out of six point eight for five thousand kilo,1835.69,1839.52,
F1-1,COA1072,continental ten seventy two thanks,1839.57,1840.83,
F1-1,TPS1080,trump ten eighty your present heading descend and maintain four thousand,1841.11,1843.88,two parties talking at once
F1-1,TPS1080,trump ten eighty your present heading descend and maintain four thousand,1844.15,1846.68,
TPS1080,F1-1,descend to four trump ten eighty,1846.76,1848.41,
F1-1,COM915,commuter nine fifteen fly heading ah one niner zero and intercept the localizer descend and maintain three thousand,1853.1,1857.89,
CFL2112,F1-1,and care twenty one twelve is with you at one point five,1862.74,1865.27,
CFL2112,F1-1,roger,1868.14,1868.83,
F1-1,TPS1080,trump ten eighty turn left heading three six zero,1868.94,1870.77,
TPS1080,F1-1,left three six oh trump ten eighty,1872.59,1874.47,
F1-1,BTA3806,jet link thirty eight oh six traffic landing runway two two left will hold short of your runway contact the tower one one niner point one good day good job,1874.45,1879.37,
F1-1,COM915,commuter nine fifteen reduce and maintain a hundred and seventy knots til lindy you are two from wayne cross wayne three thousand feet or above cleared i l s runway two two left approach,1883.11,1890.22,
TAP322,F1-1,reducing approach speed portugal three twenty two heavy,1899.39,1902.08,
F1-1,ATL405,air atlantic four oh five contact the tower one nineteen one good day,1902.06,1904.41,
ATL405,F1-1,four zero five see you,1904.72,1906.08,
F1-1,COM915,commuter nine fifteen a hundred til lindy contact the tower one one niner point one good day,1906.11,1910.16,
COM915,F1-1,nineteen one nine fifteen so long,1910.13,1911.77,
F1-1,NERA3727,nera thirty seven twenty seven boston roger nine miles from wayne cross wayne three thousand feet or above cleared i l s approach runway two two left hold short of runway two seven,1930.53,1936.87,
NERA3727,F1-1,cross wayne three or above cleared for the approach hold short of two seven thirty seven twenty seven,1937.32,1941.92,
F1-1,TPS1080,trump ten eighty turn left heading three three zero and descend and maintain three thousand,1943.43,1946.45,
TPS1080,F1-1,left three three oh leaving four for three trump ten eighty,1946.71,1949.86,
F1-1,COA1072,continental ten seventy two turn left heading three six zero and descend and maintain three thousand,1986.48,1989.81,
COA1072,F1-1,down to three heading three sixty continental ten seventy two out of five,1990.42,1993.74,
TPS1080,F1-1,left three hundred cleared i l s d m e two seven two til established trump ten eighty,2001.35,2005.67,
F1-1,TPS1080,trump ten eighty reduce now and maintain a hundred and seventy knots to ripit presently seven in trail of a heavy air bus,2005.66,2010.49,
TPS1080,F1-1,one seventy to ripit trump ten eighty,2011.04,2013.04,
F1-1,COA1072,continental ten seventy two turn left heading three three zero,2040.33,2042.79,
COA1072,F1-1,three three zero continental ten seventy two,2043.76,2045.76,
F1-1,CFL2112,care twenty one twelve turn right heading zero one zero,2046.09,2048.41,
CFL2112,F1-1,zero one zero care twenty one twelve,2048.65,2050.67,
F1-1,NERA3727,nera thirty seven twenty seven contact the tower one one niner point one maintain at least a hundred seventy knots to lindy,2062.96,2068.0,
F1-1,TAP322,trans portugal three two two heavy boston contact boston tower one one niner point one over,2076.63,2081.11,
TAP322,F1-1,nineteen one so long,2081.17,2082.19,
PCN3508,F1-1,boston precision thirty five zero eight with you five thousand,2083.96,2086.82,
F1-1,PCN3508,thirty five zero eight boston roger,2087.05,2088.47,
F1-1,TPS1080,trump ten eighty traffic landing two two left will hold short of your runway contact the tower one one niner point one,2091.02,2095.39,
TPS1080,F1-1,trump ten eighty good afternoon,2095.65,2097.36,
F1-1,COA1072,continental ten seventy two turn left heading three zero zero and intercept the localizer,2097.38,2100.86,
COA1072,F1-1,three zero zero intercept continental ten seventy two,2100.94,2103.51,
CFL2112,F1-1,care twenty one twelve has that traffic sir,2108.65,2110.25,
F1-1,CFL2112,care twenty one twelve descent your discretion follow that traffic caution the wake turbulence,2110.25,2113.51,
CFL2112,F1-1,twenty one twelve roger,2114.03,2115.23,
SKM61,F1-1,approach sky mas- sixty one is with you at four thousand feet heading one six zero,2124.95,2128.39,
F1-1,SKM61,master sixty one boston approach roger,2128.41,2130.37,
COA380,F1-1,approach continental three eighty eight point for five thousand,2131.14,2133.86,
F1-1,COA380,continental three eighty boston approach fly heading zero two zero,2134.02,2136.48,
COA380,F1-1,zero two zero continental three eighty,2136.56,2138.2,
F1-1,PCN3508,precision thirty five zero eight descend and maintain two thousand,2147.59,2149.79,
PCN3508,F1-1,o k down to two thousand precision thirty five zero eight,2149.83,2151.94,
COA1072,F1-1,o k ah continental ten seventy two looking,2156.76,2159.82,
COA1072,F1-1,all right sir out of three thousand cleared for the approach continental ten seventy two,2175.46,2178.81,
PCN3508,F1-1,thirty five zero eight looking for traffic,2183.51,2185.27,
F1-1,PCN3508,thirty five zero eight follow that traffic to runway two two left after landing hold short of runway two seven,2185.87,2189.78,
F1-1,PCN3508,o k precision thirty five zero eight roger maintain two thousand present heading,2191.73,2194.65,
PCN3508,F1-1,thirty five zero eight two thousand present heading,2194.82,2197.02,
F1-1,AWE826,cactus eight twenty six descend and maintain four thousand,2202.28,2204.51,
F1-1,AWE826,cactus eight twenty six boston,2206.69,2208.12,
F1-2,PCN3508,precision thirty five zero eight turn right heading one two zero,2236.32,2238.77,
PCN3508,F1-2,o k turn to one two zero precision thirty five zero eight,2238.83,2241.81,
F1-2,AWE826,cactus eight twenty six boston,2241.79,2243.37,
AWE826,F1-2,sir eight twenty six six thousand,2243.78,2245.53,
F1-2,AWE826,cactus eight twenty six fly heading one zero zero descend and maintain three thousand,2245.49,2248.51,
AWE826,F1-2,one zero zero down to three thousand cactus eight twenty six,2248.91,2251.57,
F1-2,COA380,continental three eighty reduce speed to two one zero,2252.61,2254.64,
COA380,F1-2,continental three eighty two ten,2254.69,2256.36,
F1-2,SKM61,sky master sixty one turn right heading two zero zero descend v f r to three thousand three thousand,2269.05,2273.75,
SKM61,F1-2,out of four for three thousand and coming right to two zero zero sky master sixty one,2274.52,2278.12,
USA1615,F1-2,approach good afternoon u s air sixteen fifteen out of eight thousand for five thousand,2284.38,2288.74,
F1-2,COA1072,continental ten seventy two contact the tower nineteen one,2288.76,2290.91,
COA1072,F1-2,continental ten seventy two,2291.36,2292.7,
F1-2,AWE826,cactus eight twenty six turn right heading one niner zero,2293.1,2295.23,
AWE826,F1-2,one niner zero cactus eight twenty six,2295.88,2297.86,
USA1615,F1-2,heading zero three zero u s air sixteen fifteen,2300.92,2303.31,
F1-2,PCN3508,precision thirty five oh eight turn right heading two one zero,2303.42,2305.52,
F1-2,CFL2112,care twenty one twelve contact the tower nineteen one,2308.12,2309.93,
CFL2112,F1-2,nineteen one twenty one twelve,2310.11,2311.48,
F1-2,COA380,continental three eighty turn left heading three four zero descend and maintain four thousand,2311.55,2314.7,
COA380,F1-2,three four zero down to four thousand continental three eighty,2314.76,2317.47,
F1-2,AWE826,cactus eight twenty six reduce speed to one seven zero then maintain two thousand,2317.64,2320.72,
AWE826,F1-2,slow back one seven zero then two thousand cactus eight twenty six,2321.27,2324.61,
F1-2,PCN3508,precision thirty five oh eight verify two two left in sight,2325.34,2327.48,
F1-2,PCN3508,precision thirty five oh eight verify two two left in sight,2330.44,2332.96,
PCN3508,F1-2,precision thirty five zero eight two two left in sight,2333.26,2335.38,
F1-2,PCN3508,precision thirty five oh eight proceed inbound two two left hold short of two seven,2335.35,2337.89,
PCN3508,F1-2,two two left hold short of seven precision thirty five zero eight,2338.15,2340.66,
F1-2,COA380,continental three eighty turn left heading two niner zero intercept the localizer two seven,2340.75,2343.6,
COA380,F1-2,two nine zero to intercept the localizer continental three eighty,2343.72,2346.42,
F1-2,AWE826,cactus eight twenty six turn right heading two five zero intercept the localizer two seven,2346.43,2349.68,
F1-2,USA1615,u s air sixteen fifteen reduce speed to two one zero then maintain four thousand,2353.95,2356.24,
F1-2,PCN3508,precision thirty five oh eight contact tower nineteen one,2359.55,2361.45,
PCN3508,F1-2,nineteen one precision thirty five zero eight,2361.49,2363.16,
F1-2,SKM61,sky master sixty one descend v f r your discretion advise two two left in sight,2363.09,2366.02,
SKM61,F1-2,and sky master sixty one has visual on two two left,2366.69,2369.77,
F1-2,SKM61,sky master sixty one proceed inbound two two left hold short of two seven,2369.7,2372.28,
DAL1776,F1-2,delta seventeen seventy six six thousand,2377.63,2379.74,
F1-2,USA1615,u s air sixteen fifteen turn left heading three four zero,2381.18,2383.74,
USA1615,F1-2,three four zero sixteen fifteen,2383.84,2385.63,
F1-2,COA380,continental three eighty reduce speed to one seven zero,2385.66,2387.63,
COA380,F1-2,continental three eighty,2387.88,2388.84,
F1-2,SKM61,sky master sixty one contact the tower one one niner point one,2389.01,2391.45,
SKM61,F1-2,one one nine point one see you,2391.88,2393.28,
F1-2,DAL1776,delta seventeen seventy six fly heading one zero zero maintain four thousand,2393.37,2396.51,
DAL1776,F1-2,heading one zero zero down to four thousand delta seventeen seventy six,2396.66,2399.52,
F1-2,AWE826,cactus eight twenty six three from ah ripit intercept the localizer at or above two thousand cleared i l s d m e two seven approach speed one seven zero to ripit,2399.47,2405.63,
F1-2,COA380,continental three eighty two from the i loner cross loner at three or above cleared i l s d m e two seven approach maintain one seven zero knots to loner correction one seven zero knots until ripit,2409.52,2416.92,
COA380,F1-2,one seventy til ripit three until established cleared i l s two seven continental three eighty,2416.93,2421.81,
F1-2,AWE826,cactus eight twenty six traffic landing two two left will hold short of your runway,2421.86,2424.77,
AWE826,F1-2,all right thank you cactus eight twenty six roger,2424.76,2426.93,
