from,to,text,time_start,time_end,comment
AAL38,GCW-1,ground american ah thirty eight's with you nineteen bridge,660.19,662.79,
GCW-1,AAL38,i'm sorry say again your number,665.70,667.10,
AAL38,GCW-1,american thirty eight,667.36,668.34,
GCW-1,AAL38,american thirty eight regional ground hotel and taxiway eighteen and monitor the tower now one two four point one five,668.78,673.58,
AAL38,GCW-1,roger,673.82,674.27,
AAL527,GCW-1,american five two seven on thirty one ah eastbound here for ah entry twenty six,675.28,680.42,
GCW-1,AAL527,okay taxiway thirty two keep it moving straight ahead,680.78,683.41,
AAL602,GCW-1,that's american six zero two,684.56,686.27,
GCW-1,AAL602,thank you american six zero two and on the bridge contact ground one three four point zero five,686.52,690.45,
GCW-1,AAL602,american five twenty seven straight ahead and turn right at taxiway hotel and you follow the m d eighty on the thirty two bridge contact ground one three four point zero five,690.48,698.96,
AAL527,GCW-1,okay right at hotel and follow the other m d eighty american ah five two seven,699.63,703.14,
GCW-1,AAL527,ah the reason i didn't answer right away i wanted to keep that one other guy at thirty two moving to make it easier for you,703.19,708.04,
GCW-1,AAL1406,m d eighty at twenty nine american outer thirty two bridge contact ground one three four point zero five,709.36,715.72,
AAL1406,GCW-1,okay that's american fourteen oh six and it's gate eleven thirty four zero five,716.10,720.12,
AAL1176,GCW-1,american eleven seventy six nineteen bridge,721.09,722.85,
GCW-1,AAL1176,american eleven seventy six regional ground hotel and taxiway eighteen,722.88,725.65,
AAL1176,GCW-1,eleven seventy six,726.18,726.81,
GCW-1,AAL242,american local two four two pull up and ah cross runway one eight right now and then turn right on taxiway echo south bound,728.43,736.65,
AAL242,GCW-1,okay two four two cross one eight right and turn south on echo,737.22,740.99,
CPL784,GCW-1,chaparral seven eighty four crossing ah eighteen left,800.85,804.57,
GCW-1,CPL784,chaparral seven eighty four regional ground north on the inner and hold short of taxiway nineteen,804.72,809.04,
CPL784,GCW-1,north on the inner and we'll hold short of nineteen seven eighty four,809.23,812.04,
GCW-1,AAL242,american local two four two turn left at taxiway twenty three that'll be the ah second taxiway hold short of runway one eight left,817.76,824.69,
AAL242,GCW-1,okay two four two ah will make a left at ah twenty three and we'll hold short ah eighteen left,825.88,832.50,
GCW-1,CPL784,chaparral seven ah eighty four cross the eighteen bridge now and on the bridge contact ground point six five there's a delta d c nine coming across nineteen i'll have him give way to you,838.69,848.38,
CPL784,GCW-1,seven eighty four okay,848.45,849.75,
DAL965,GCW-1,delta nine sixty five coming up on the nineteen bridge,852.66,855.58,
GCW-1,DAL965,delta nine sixty five roger,859.16,860.39,
GCW-1,AAL242,american local two four two at taxiway twenty three cross runway one eight left turn right on the outer taxiway cross the runway without delay,862.93,870.96,
AAL242,GCW-1,okay two four two we'll cross one eight left at twenty three and go right on the inner,872.12,879.50,
GCW-1,AAL242,ah right on the ah yeah use the inner taxiway that'll be fine,879.76,882.75,
GCW-1,DAL965,delta nine sixty five give way to a american eagle jetstream be left to right on the inner he's just passing twenty two and then proceed straight ahead on taxiway nineteen,884.46,893.04,
DAL965,GCW-1,delta nine sixty five we'll give way to em,894.81,896.90,
GCW-1,UNK,thank you hustler at the high speed just taxi to the ramp,897.23,900.18,
ASA417,GCW-1,and ground asea four seventeen climbing the nineteen bridge,902.20,904.61,
GCW-1,ASA417,asea four seventeen ah regional ground straight ahead and when you get a chance pull over to the center runup area,904.68,910.50,
ASA417,GCW-1,straight ahead and center runup area asea four seventeen,910.75,913.12,
GCW-1,DAL965,delta nine sixty five there he is you can monitor the tower now one two four point one five you're going to follow that second american m d eighty anyway,913.26,919.18,
DAL965,GCW-1,all right thanks,919.55,920.19,
GCW-1,DAL965,and you didn't have to stop,921.30,922.47,
GCW-1,ASA417,asea four seventeen if you can go ahead and use hotel and eighteen now stay on taxiway eighteen,944.68,949.53,
ASA417,GCW-1,hotel for asea four seventeen,949.95,951.92,
GCW-1,ASA417,and you go ahead and monitor the tower now,952.18,953.81,
ASA417,GCW-1,will do,954.15,954.85,
GCW-1,AAL242,american local two forty two cross the thirty two bridge when you get on the bridge contact ground one three four point zero five thirty four zero five,963.53,975.12,
AAL242,GCW-1,okay two four two ah we'll cross the thirty two bridge and ah contact ground one three four zero five thank you,975.68,982.53,
GCW-1,UNK,information juliet is current on departure atis,1026.99,1028.78,
GCW-1,AAL299,american two ninety nine you up,1054.01,1055.42,
AAL299,GCW-1,american two ninety nine is nineteen bridge,1058.96,1060.88,
GCW-1,AAL299,american two ninety nine ah regional ground straight ahead or hotel and eighteen either one will be fine and you can monitor tower now one two four point one five,1060.97,1068.69,
AAL299,GCW-1,american two ninety nine wilco,1069.08,1070.15,
GCW-1,CPL764,rio seven sixty four regional ground enter ah eighteen bridge contact ground point six five,1158.67,1163.93,
GCW-1,CPL764,and for chaparral seven sixty four when you turn on the inner ah without delay until you get all the way up to eighteen i got a seven four seven just coming across the bridge and i'm going to have him use hotel and eighteen,1171.50,1180.51,
GCW-1,CPL764,thanks,1181.94,1182.33,
GCW-1,DAL199,delta heavy seven six seven at twenty nine regional ground good afternoon outer thirty two bridge contact ground point six five,1182.67,1188.98,
DAL199,GCW-1,okay that was delta ah we've already through passed the outer ah and ah say the rest this is delta one ninety nine heavy,1190.99,1197.27,
GCW-1,DAL199,delta one ninety nine inner ah thirty two bridge contact ground point six five,1197.33,1201.19,
DAL199,GCW-1,okay ah inner ah thirty two bridge ah delta one ninety nine heavy,1201.40,1206.16,
DLH494,GCW-1,regional ground good afternoon lufthansa four ninety four heavy ah nineteen bridge,1222.65,1226.51,
GCW-1,DLH494,lufthansa four ninety four heavy ah regional ground good afternoon turn right at taxiway hotel give way to an american eagle jetstream that'll be ah left to right then on eighteen and then proceed via taxiway eighteen,1227.48,1242.61,
GCW-1,DAL1194,delta eleven ninety four you can proceed straight ahead,1250.44,1253.58,
DAL1194,GCW-1,eleven ninety four wilco,1254.04,1255.13,
DAL545,GCW-1,delta five forty five coming up on the nineteen bridge,1260.80,1263.19,
GCW-1,DAL545,delta five forty five ah regional ground hotel and taxiway eighteen,1263.49,1266.89,
DAL545,GCW-1,hotel eighteen,1267.19,1268.02,
GCW-1,CPL764,chaparral seven sixty four thank you and i'm sure the seven four seven thanks you he didn't have to stop on the bridge contact ground point six five good day,1277.09,1283.66,
CPL764,GCW-1,point six five on the bridge chaparral seven sixty four roger good day,1283.88,1287.20,
GCW-1,DLH494,lufthansa four ninety four heavy you can monitor the tower now one two four point one five,1302.25,1306.15,
DLH494,GCW-1,one two four one five lufthansa four ninety four heavy good bye,1306.49,1308.89,
GCW-1,DLH494,good bye,1309.04,1309.52,
GCW-1,AAL488,delta ah correction i'm sorry american four eighty eight you on,1310.65,1313.53,
AAL488,GCW-1,just now four eighty eight,1313.64,1315.00,
GCW-1,AAL488,follow the delta seven two seven there to runway eighteen left,1315.14,1318.04,
AAL488,GCW-1,follow the delta to eighteen left american four eighty eight,1318.58,1320.89,
GCW-1,ASA365,asea three sixty five ah regional ground straight ahead on ah taxiway nineteen stay on taxiway nineteen and you can monitor the tower now,1344.90,1351.55,
ASA365,GCW-1,straight ahead on nineteen and monitor the tower three sixty five,1351.88,1354.66,
GCW-1,USA1485,u s air fourteen eighty five ah roger you got your clearance,1367.04,1370.38,
USA1485,GCW-1,affirmative,1371.76,1372.50,
GCW-1,USA1485,okay thanks,1372.73,1373.56,
USA1485,GCW-1,does that mean we can push,1377.09,1378.10,
GCW-1,USA1485,yeah ah d f w here we have no control over the push backs ah you do that at your discretion,1378.35,1383.92,
USA1485,GCW-1,oh okay thanks for the info we'll make a note of that for next time,1384.35,1388.11,
GCW-1,USA1485,yeah i know some airports require you to call on that here we don't,1388.35,1391.80,
USA1485,GCW-1,okay thanks a lot,1392.11,1393.10,
UAL895,GCW-1,ground united eight ninety five we're pushing back okay,1424.81,1427.03,
GCW-1,UAL895,at ah say again the ah number ah,1434.30,1436.86,
UAL895,GCW-1,united eight ninety five just letting you know we're pushing back gate four,1437.39,1440.43,
GCW-1,UAL895,united eight ninety five roger,1440.63,1441.69,
GCW-1,MTR824,metro eight twenty four regional ground inner eighteen bridge contact ground point six five,1511.17,1514.82,
EEC1223,GCW-1,ground hustler twelve twenty three is twenty alpha taxi,1602.14,1606.44,
GCW-1,EEC1223,hustler twelve twenty three ah regional ground good afternoon via hotel correction via taxiway nineteen runway eighteen left and your can monitor tower now,1606.56,1614.17,
USA1485,GCW-1,u s air's fourteen eighty five taxi,1617.74,1620.28,
GCW-1,USA1485,u s air fourteen eighty five ah north on the inner cross the eighteen bridge for runway one seven right on the bridge contact ground point six five juliet is on departure atis now,1620.53,1631.58,
USA1485,GCW-1,okay north on the inner the eighteen bridge and ground on twenty one sixty five u s air fourteen eighty five,1633.11,1640.15,
GCW-1,USA1485,yeah the reason they got to send you over there and keep you over there you're ah like number eleven to go right now,1640.47,1645.98,
USA1485,GCW-1,oh thought maybe it was a test to see if we could find our way around the airport,1647.08,1650.44,
GCW-1,USA1485,okay,1650.75,1651.44,
UAL895,GCW-1,ground united eight ninety five taxi,1664.03,1665.69,
GCW-1,UAL895,united eight ninety five ah regional ground taxi to runway one eight left via the outer taxiway and juliet now on departure atis,1666.64,1673.37,
UAL895,GCW-1,picking up the outer eighteen left united eight ninety five,1673.57,1676.55,
GCW-1,UAL895,united eight ninety five you can monitor the tower now one two four point one five good day,1834.88,1838.48,
GCW-1,UNK,got any ah port vehicles on frequency,1858.43,1860.62,
AAL1352,GCW-1,and ground american thirteen fifty two is with you at twenty seven,1932.22,1934.94,
GCW-1,AAL1352,american thirteen fifty two ah regional ground outer thirty two bridge contact ground point six five,1936.89,1942.50,
AAL1352,GCW-1,we'll do that american thirteen fifty two,1942.68,1944.35,
EEC1205,GCW-1,regional ground hustler twelve zero five coming out of hotel hold short of nineteen,1997.92,2001.99,
GCW-1,EEC1205,hustler twelve zero five regional ground taxi runway one eight left and you can monitor the tower now,2002.27,2005.82,
GCW-1,PORT110,okay who's the port vehicle there at twenty three and ah foxtrot,2010.74,2013.36,
GCW-1,PORT110,okay turn around i need you to go back out on twenty three if you can,2016.61,2019.70,
GCW-1,PORT110,yeah ah better yet go down to taxiway ah twenty one and then ah make your left turn and then come up runway eighteen left we had a navajo takeoff and report he might have hit some pigeons somewhere between twenty one and ah twenty seven,2025.08,2039.14,
GCW-1,PORT110,yeah,2042.16,2042.95,
GCW-1,PORT110,ah all right we heard about it they're just telling us about what happened last night,2047.24,2050.94,
EASY41,GCW-1,regional ground easy forty one,2055.36,2057.49,
GCW-1,EASY41,easy forty one ground,2057.56,2058.79,
EASY41,GCW-1,would like to cross eighteen right and left on the north emergency road i'll be eastbound,2059.16,2063.86,
GCW-1,EASY41,easy forty one approved as requested,2064.34,2066.91,
EASY41,GCW-1,copy approved,2067.70,2068.95,
GCW-1,PORT110,port one ten proceed on runway one eight left ah,2075.07,2078.17,
PORT110,GCW-1,okay one eight left is closed correct,2078.53,2080.69,
GCW-1,PORT110,that is correct,2081.00,2082.00,
AAL1414,GCW-1,ground american fourteen fourteen clear of one eight left,2084.82,2086.97,
GCW-1,AAL1414,american fourteen fourteen ground outer thirty two bridge contact ground point six five,2087.03,2091.40,
AAL1414,GCW-1,outer to the thirty two point six five american fourteen fourteen,2091.72,2094.38,
EASY41,GCW-1,easy is clear,2112.29,2113.81,
GCW-1,EASY41,easy forty one thank you,2114.76,2116.25,
GCW-1,PORT110,okay port ah one ten if you don't find em ah past er twenty seven there i guess they're not on the runway clear at the high speed there,2171.51,2179.81,
GCW-1,PORT110,all right and ah guess you didn't find anything did you,2188.91,2191.75,
GCW-1,PORT110,thank you one eight left runway one eight left is open,2194.91,2197.64,
GCW-1,DAL1004,delta ten four regional ground turn right on the outer thirty two bridge contact ground point six five,2234.58,2239.94,
DAL1004,GCW-1,ten oh four wilco,2240.27,2241.20,
GCW-1,PORT102,port one ten cross one eight left at thirty two,2407.90,2409.76,
AAL461,GCW-1,four six one nineteen bridge heading west for ah hangar ramp,3533.37,3536.69,
AAL461,GCW-1,roger we'll hold short of one eight left,3542.26,3543.65,
AAL818,GCW-1,regional ground american eight eighteen local nineteen bridge to the hangar,3583.42,3587.48,
GCW-1,AAL818,eight eighteen local regional ground hold short of runway eighteen right,3590.54,3592.82,
AAL818,GCW-1,hold short of one eight right american eight eighteen local,3593.19,3595.31,
GCW-1,AAL818,one eight left sir,3595.39,3596.14,
AAL818,GCW-1,hold short of one eight left for eight eighteen local,3597.30,3600.00,
GCW-1,AAL461,american local four sixty one cross runway one eight left hold short of runway one eight right,3603.15,3607.01,
AAL461,GCW-1,four sixty one cross the left hold short of the right,3607.62,3609.73,
GCW-1,ASA416,asea four sixteen cross the thirty two bridge contact ground point six five on top good bye,3609.88,3613.80,
ASA416,GCW-1,so long,3614.03,3614.62,
GCW-1,CPL767,chaparral seven sixty seven straight ahead on taxiway eighteen monitor the tower now good day,3618.10,3621.62,
CPL767,GCW-1,good bye,3621.93,3622.48,
GCW-1,CPL767,bye,3622.67,3622.93,
CPL795,GCW-1,ground chaparral seven ninety five eighteen bridge,3664.44,3666.72,
GCW-1,CPL795,chaparral seven ninety five straight ahead on taxiway eighteen and monitor the tower good day,3666.72,3669.78,
CPL795,GCW-1,seven ninety five good day,3669.95,3671.01,
GCW-1,AAL461,american local four sixty one cross runway one eight right taxi to the hangar area good day,3672.69,3677.96,
AAL461,GCW-1,four sixty one roger,3678.64,3679.74,
GCW-1,AAL818,american local eight eighteen cross runway one eight left hold short runway one eight right,3697.09,3700.50,
AAL818,GCW-1,cross one eight left hold short one eight right eight eighteen,3700.72,3703.72,
CPL711,GCW-1,regional ground chaparral seven eleven top of the eighteen bridge,3724.19,3726.89,
GCW-1,CPL711,chaparral seven eleven regional ground straight ahead on nineteen monitor the tower good day,3726.95,3731.71,
CPL711,GCW-1,nineteen and the tower chaparral seven eleven,3732.33,3733.97,
MTR905,GCW-1,metro nine oh five on the nineteen bridge,3738.09,3739.92,
GCW-1,MTR905,metro's nine oh five regional ground straight ahead on taxiway nineteen monitor the tower good day to you,3739.98,3743.73,
MTR905,GCW-1,nine oh five,3743.96,3744.78,
ASA426,GCW-1,asea four twenty six off the right,3745.54,3747.40,
GCW-1,ASA426,asea four sixteen via the outer cross thirty two bridge ground point six five on top good day,3747.47,3751.11,
GCW-1,AAL818,american local eight eighteen cross runway one eight right taxi to the hangar area good day,3760.98,3764.67,
GCW-1,DAL699,delta six ninety nine good afternoon sir via the outer cross the thirty two bridge contact ground point six five on top,3865.69,3871.10,
DAL699,GCW-1,outer and thirty two bridge delta six ninety nine,3871.50,3874.06,
CPL615,GCW-1,chaparral six fifteen nineteen bridge,3897.03,3899.85,
GCW-1,CPL615,chaparral six fifteen regional ground straight ahead on taxiway nineteen and monitor the tower good day,3900.60,3904.38,
CPL615,GCW-1,good day,3904.89,3905.38,
